year,speed,num_users
2005,< 256kbps,2757
2006,< 256kbps,4193
2007,< 256kbps,1887
2005,256kbps - 512kbps,1327
2006,256kbps - 512kbps,659
2007,256kbps - 512kbps,1580
2005,512kbps - 1.5Mbps,1442
2006,512kbps - 1.5Mbps,529
2007,512kbps - 1.5Mbps,1121
2005,1.5Mbps - 8Mbps,0
2006,1.5Mbps - 8Mbps,0
2007,1.5Mbps - 8Mbps,1045
2005,8Mbps - 24Mbps,0
2006,8Mbps - 24Mbps,0
2007,8Mbps - 24Mbps,1293
2005,> 24Mbps,0
2006,> 24Mbps,0
2007,> 24Mbps,180
2000,< 256kbps,3849
2001,< 256kbps,3968
2002,< 256kbps,4299
2003,< 256kbps,5076
2004,< 256kbps,5220
2008,< 256kbps,1293
2008,512kbps - 1.5Mbps,2607
2008,1.5Mbps - 8Mbps,2002
2008,8Mbps - 24Mbps,1650
2008,> 24Mbps,373
2009,< 256kbps,1103
2009,512kbps - 1.5Mbps,2546
2009,1.5Mbps - 8Mbps,2529
2009,8Mbps - 24Mbps,1800
2009,> 24Mbps,443
2010,< 256kbps,785
2010,512kbps - 1.5Mbps,1951
2010,1.5Mbps - 8Mbps,3540
2010,8Mbps - 24Mbps,2591
2010,> 24Mbps,632
2011,< 256kbps,579
2011,512kbps - 1.5Mbps,812
2011,1.5Mbps - 8Mbps,4614
2011,8Mbps - 24Mbps,3913
2011,> 24Mbps,989
2012,< 256kbps,436
2012,512kbps - 1.5Mbps,980
2012,1.5Mbps - 8Mbps,5067
2012,8Mbps - 24Mbps,4094
2012,> 24Mbps,1458
2013,< 256kbps,232
2013,512kbps - 1.5Mbps,294
2013,1.5Mbps - 8Mbps,3971
2013,8Mbps - 24Mbps,5976
2013,> 24Mbps,1785
2014,< 256kbps,186
2014,512kbps - 1.5Mbps,256
2014,1.5Mbps - 8Mbps,3758
2014,8Mbps - 24Mbps,6252
2014,> 24Mbps,2030
2015,< 256kbps,89
2015,512kbps - 1.5Mbps,147
2015,1.5Mbps - 8Mbps,2326
2015,8Mbps - 24Mbps,5101
2015,> 24Mbps,5100
2015,> 24Mbps,0
2016,< 256kbps,99
2016,512kbps - 1.5Mbps,101
2016,1.5Mbps - 8Mbps,1963
2016,8Mbps - 24Mbps,3592
2016,> 24Mbps,7542
2017,8Mbps - 24Mbps,2552
2017,> 24Mbps,8464
2017,1.5Mbps - 8Mbps,1672
2018,8Mbps - 24Mbps,3598
2018,> 24Mbps,9641
2018,1.5Mbps - 8Mbps,1592